analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,primary_test,original_thresholds,all,easy,all,B0,,,family,7,58,29,29,58,13,45,0,0,29,29,13,7.0,3.5,3.5,7.0,1.5,5.5,0.0,0.0,3.5,3.5,1.5,1.0,1.0,0.7857142857142857,0.42857142857142855,1.0,0.0,0.42857142857142855,"[0.17142857142857146, 0.7142857142857143]","[0.6428571428571429, 0.9142857142857144]","[1.0, 1.0]","[1.0, 1.0]","[0.17142857142857146, 0.7142857142857143]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,hard,all,B0,,,family,7,58,29,29,58,11,47,0,0,29,29,11,7.0,3.5,3.5,7.0,1.3,5.7,0.0,0.0,3.5,3.5,1.3,1.0,1.0,0.8142857142857143,0.37142857142857144,1.0,0.0,0.37142857142857144,"[0.1142857142857143, 0.6285714285714287]","[0.6857142857142857, 0.9428571428571428]","[1.0, 1.0]","[1.0, 1.0]","[0.1142857142857143, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,all,all,B1,,,family,7,116,58,58,0,0,0,116,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,easy,all,B1,,,family,7,58,29,29,0,0,0,58,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,hard,all,B1,,,family,7,58,29,29,0,0,0,58,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,all,all,S1,0.787984976280714,,family,7,116,58,58,112,20,92,4,0,56,56,20,7.0,3.5,3.5,6.75,1.2875,5.4625,0.25,0.0,3.375,3.375,1.2875,0.9642857142857143,0.9642857142857143,0.8092592592592593,0.3678571428571429,0.9642857142857143,0.0,0.3678571428571429,"[0.1, 0.692857142857143]","[0.6481481481481481, 0.9500000000000001]","[0.8928571428571429, 1.0]","[0.8928571428571429, 1.0]","[0.1, 0.692857142857143]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,easy,all,S1,0.787984976280714,,family,7,58,29,29,56,11,45,2,0,28,28,11,7.0,3.5,3.5,6.75,1.4,5.35,0.25,0.0,3.375,3.375,1.4,0.9642857142857143,0.9642857142857143,0.7925925925925925,0.39999999999999997,0.9642857142857143,0.0,0.39999999999999997,"[0.1142857142857143, 0.7714285714285715]","[0.6153846153846154, 0.9428571428571428]","[0.8928571428571429, 1.0]","[0.8928571428571429, 1.0]","[0.1142857142857143, 0.7714285714285715]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,hard,all,S1,0.787984976280714,,family,7,58,29,29,56,9,47,2,0,28,28,9,7.0,3.5,3.5,6.75,1.175,5.575,0.25,0.0,3.375,3.375,1.175,0.9642857142857143,0.9642857142857143,0.825925925925926,0.33571428571428574,0.9642857142857143,0.0,0.33571428571428574,"[0.08571428571428573, 0.6428571428571429]","[0.675, 0.9571428571428572]","[0.8928571428571429, 1.0]","[0.8928571428571429, 1.0]","[0.08571428571428573, 0.6428571428571429]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,all,all,S2,0.787984976280714,0.0,family,7,116,58,58,112,20,92,4,0,56,56,20,7.0,3.5,3.5,6.75,1.2875,5.4625,0.25,0.0,3.375,3.375,1.2875,0.9642857142857143,0.9642857142857143,0.8092592592592593,0.3678571428571429,0.9642857142857143,0.0,0.3678571428571429,"[0.1, 0.692857142857143]","[0.6481481481481481, 0.9500000000000001]","[0.8928571428571429, 1.0]","[0.8928571428571429, 1.0]","[0.1, 0.692857142857143]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,easy,all,S2,0.787984976280714,0.0,family,7,58,29,29,56,11,45,2,0,28,28,11,7.0,3.5,3.5,6.75,1.4,5.35,0.25,0.0,3.375,3.375,1.4,0.9642857142857143,0.9642857142857143,0.7925925925925925,0.39999999999999997,0.9642857142857143,0.0,0.39999999999999997,"[0.1142857142857143, 0.7714285714285715]","[0.6153846153846154, 0.9428571428571428]","[0.8928571428571429, 1.0]","[0.8928571428571429, 1.0]","[0.1142857142857143, 0.7714285714285715]"
