analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,absent_hard,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,easy,present_easy,B0,,,family,1,4,4,0,4,1,3,0,0,4,0,1,1.0,1.0,0.0,1.0,0.25,0.75,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.75,0.25,,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:notched,hard,present_hard,B0,,,family,1,4,4,0,4,0,4,0,0,4,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,all,all,B0,,,family,1,20,10,10,20,3,17,0,0,10,10,3,1.0,0.5,0.5,1.0,0.15000000000000002,0.8500000000000001,0.0,0.0,0.5,0.5,0.15000000000000002,1.0,1.0,0.8500000000000001,0.30000000000000004,1.0,0.0,0.30000000000000004,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,all,B0,,,family,1,10,5,5,10,2,8,0,0,5,5,2,1.0,0.5,0.5,1.0,0.2,0.8,0.0,0.0,0.5,0.5,0.2,1.0,1.0,0.8,0.4,1.0,0.0,0.4,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,all,B0,,,family,1,10,5,5,10,1,9,0,0,5,5,1,1.0,0.5,0.5,1.0,0.1,0.9,0.0,0.0,0.5,0.5,0.1,1.0,1.0,0.9,0.2,1.0,0.0,0.2,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,absent_easy,B0,,,family,1,5,0,5,5,0,5,0,0,0,5,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,absent_hard,B0,,,family,1,5,0,5,5,0,5,0,0,0,5,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,easy,present_easy,B0,,,family,1,5,5,0,5,2,3,0,0,5,0,2,1.0,1.0,0.0,1.0,0.4,0.6000000000000001,0.0,0.0,1.0,0.0,0.4,1.0,1.0,0.6000000000000001,0.4,,0.0,0.4,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:rect,hard,present_hard,B0,,,family,1,5,5,0,5,1,4,0,0,5,0,1,1.0,1.0,0.0,1.0,0.2,0.8,0.0,0.0,1.0,0.0,0.2,1.0,1.0,0.8,0.2,,0.0,0.2,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,all,all,B0,,,family,1,16,8,8,16,3,13,0,0,8,8,3,1.0,0.5,0.5,1.0,0.1875,0.8125,0.0,0.0,0.5,0.5,0.1875,1.0,1.0,0.8125,0.375,1.0,0.0,0.375,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,easy,all,B0,,,family,1,8,4,4,8,1,7,0,0,4,4,1,1.0,0.5,0.5,1.0,0.125,0.875,0.0,0.0,0.5,0.5,0.125,1.0,1.0,0.875,0.25,1.0,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,hard,all,B0,,,family,1,8,4,4,8,2,6,0,0,4,4,2,1.0,0.5,0.5,1.0,0.25,0.75,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.75,0.5,1.0,0.0,0.5,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,easy,absent_easy,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,hard,absent_hard,B0,,,family,1,4,0,4,4,0,4,0,0,0,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,easy,present_easy,B0,,,family,1,4,4,0,4,1,3,0,0,4,0,1,1.0,1.0,0.0,1.0,0.25,0.75,0.0,0.0,1.0,0.0,0.25,1.0,1.0,0.75,0.25,,0.0,0.25,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:square,hard,present_hard,B0,,,family,1,4,4,0,4,2,2,0,0,4,0,2,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,,0.0,0.5,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,all,all,B0,,,family,1,12,6,6,12,1,11,0,0,6,6,1,1.0,0.5,0.5,1.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.5,0.5,0.08333333333333333,1.0,1.0,0.9166666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,easy,all,B0,,,family,1,6,3,3,6,1,5,0,0,3,3,1,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,hard,all,B0,,,family,1,6,3,3,6,0,6,0,0,3,3,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,easy,absent_easy,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,hard,absent_hard,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,easy,present_easy,B0,,,family,1,3,3,0,3,1,2,0,0,3,0,1,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:tee,hard,present_hard,B0,,,family,1,3,3,0,3,0,3,0,0,3,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,all,all,B0,,,family,1,12,6,6,12,2,10,0,0,6,6,2,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,easy,all,B0,,,family,1,6,3,3,6,1,5,0,0,3,3,1,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,hard,all,B0,,,family,1,6,3,3,6,1,5,0,0,3,3,1,1.0,0.5,0.5,1.0,0.16666666666666666,0.8333333333333333,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,1.0,0.8333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,easy,absent_easy,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,hard,absent_hard,B0,,,family,1,3,0,3,3,0,3,0,0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,easy,present_easy,B0,,,family,1,3,3,0,3,1,2,0,0,3,0,1,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,family:trapezoid,hard,present_hard,B0,,,family,1,3,3,0,3,1,2,0,0,3,0,1,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,0.3333333333333333,,,,,
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,all,all,B1,,,family,7,112,56,56,0,0,0,112,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,all,B1,,,family,7,56,28,28,0,0,0,56,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,all,B1,,,family,7,56,28,28,0,0,0,56,0,0,0,,7.0,3.5,3.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,"[0.0, 0.0]","[None, None]","[0.0, 0.0]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,absent_easy,B1,,,family,7,28,0,28,0,0,0,28,0,0,0,,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,"[None, None]","[None, None]","[0.0, 0.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,absent_hard,B1,,,family,7,28,0,28,0,0,0,28,0,0,0,,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,"[None, None]","[None, None]","[0.0, 0.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,easy,present_easy,B1,,,family,7,28,28,0,0,0,0,28,0,0,0,,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,"[0.0, 0.0]","[None, None]","[None, None]","[0.0, 0.0]","[None, None]"
corrective reanalysis after test inspection,int8_calibration,posthoc_thresholds,all,hard,present_hard,B1,,,family,7,28,28,0,0,0,0,28,0,0,0,,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,"[0.0, 0.0]","[None, None]","[None, None]","[0.0, 0.0]","[None, None]"
